N	M	D	H	Qh
1	1	1	0	140000
2	1	1	1	21442.4622919125
3	1	1	2	24652.8432584057
4	1	1	3	27682.9117474563
5	1	1	4	30568.9206624095
6	1	1	5	33265.600586418
7	1	1	6	35810.0401229137
8	1	1	7	38196.809198655
9	1	1	8	38812.9051338524
10	1	1	9	35402.2802433633
11	1	1	10	28975.3261465648
12	1	1	11	19822.4916949926
13	1	1	12	12354.1328007889
14	1	1	13	5669.09643673625
15	1	1	14	3429.82823261764
16	1	1	15	5102.41308949162
17	1	1	16	8967.49554407279
18	1	1	17	12669.7463849951
19	1	1	18	16243.7982929191
20	1	1	19	19681.9929002515
21	1	1	20	22860.1383567252
22	1	1	21	25802.3374490961
23	1	1	22	28530.4589851819
24	1	1	23	30947.1015489692
25	1	2	0	33061.5941757856
26	1	2	1	34921.4823353918
27	1	2	2	36569.9047216765
28	1	2	3	38026.4611465464
29	1	2	4	39308.9348034493
30	1	2	5	40433.4606415773
31	1	2	6	41395.1375838167
32	1	2	7	42228.5999126416
33	1	2	8	42710.9495570278
34	1	2	9	42442.2571853825
35	1	2	10	41604.6520859538
36	1	2	11	40343.2999320444
37	1	2	12	39073.3250227925
38	1	2	13	38087.2532913997
39	1	2	14	37775.8521549651
40	1	2	15	38199.6485858394
41	1	2	16	39036.1781689876
42	1	2	17	39795.1735856225
43	1	2	18	40483.8211290951
44	1	2	19	41108.6410275175
45	1	2	20	41734.1708295567
46	1	2	21	42360.3447374262
47	1	2	22	42987.1030518598
48	1	2	23	43575.3105060598
49	1	3	0	44108.9996555661
50	1	3	1	44612.7641073474
51	1	3	2	45069.8368967267
52	1	3	3	45484.545663993
53	1	3	4	45860.8169399099
54	1	3	5	46202.2133227606
55	1	3	6	46511.967209608
56	1	3	7	46793.0114011551
57	1	3	8	46793.684612453
58	1	3	9	46146.5818821296
59	1	3	10	44985.1801294415
60	1	3	11	43527.7453303968
61	1	3	12	42139.2877542985
62	1	3	13	41142.6134255578
63	1	3	14	40782.5112980788
64	1	3	15	41103.4989626785
65	1	3	16	41807.6675611474
66	1	3	17	42446.5699377606
