   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0  -4.9   98  2.629  0.0  0   0.0   0.0   0.0 -12.44    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1  -5.6   98  2.493  0.0  0   0.0   0.0   0.0 -15.48    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2  -6.2   98  2.382  0.0  0   0.0   0.0   0.0 -18.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3  -6.9   98  2.257  0.0  0   0.0   0.0   0.0 -20.32    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4  -7.3   98  2.189  0.0  0   0.0   0.0   0.0 -21.39    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5  -7.8   98  2.106  0.0  0   0.0   0.0   0.0 -23.58    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6  -8.2   98  2.042  0.0  0   0.0   0.0   0.0 -25.47    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7  -7.1   97  2.201  0.0  0  48.8   0.0  48.8 -24.18   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8   48.8
   9  1  1  8  -6.0   96  2.371  0.0  0 186.1   0.0 186.1 -22.90  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1
  10  1  1  9  -4.9   95  2.552  0.0  0 300.1   0.0 300.1 -21.61  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1  300.1
