N	M	D	H	PowerDemand
1	1	1	0	566.2
2	1	1	1	566.2
3	1	1	2	566.2
4	1	1	3	566.2
5	1	1	4	566.2
6	1	1	5	566.2
7	1	1	6	1423.13333333333
8	1	1	7	10341.359982883
9	1	1	8	6168
10	1	1	9	6168
11	1	1	10	9141.2
12	1	1	11	9052.6
13	1	1	12	7866.1
14	1	1	13	849
15	1	1	14	5481.5
16	1	1	15	9187.5
17	1	1	16	4820.33333333333
18	1	1	17	859.997103944746
19	1	1	18	866.2
20	1	1	19	1131.53333333333
21	1	1	20	866.2
22	1	1	21	866.2
23	1	1	22	866.2
24	1	1	23	566.2
25	1	2	0	566.2
26	1	2	1	566.2
27	1	2	2	566.2
28	1	2	3	566.2
29	1	2	4	566.2
30	1	2	5	566.2
31	1	2	6	1423.13333333333
32	1	2	7	10340.9009771074
33	1	2	8	6168
34	1	2	9	6168
35	1	2	10	8641.2
36	1	2	11	8552.6
37	1	2	12	7866.1
38	1	2	13	849
39	1	2	14	5481.5
40	1	2	15	9187.5
41	1	2	16	4820.33333333333
42	1	2	17	857.837017300529
43	1	2	18	866.2
44	1	2	19	1131.53333333333
45	1	2	20	866.2
46	1	2	21	866.2
47	1	2	22	866.2
48	1	2	23	566.2
49	1	3	0	566.2
50	1	3	1	566.2
51	1	3	2	566.2
52	1	3	3	566.2
53	1	3	4	566.2
54	1	3	5	566.2
55	1	3	6	1423.13333333333
56	1	3	7	10340.0312446364
57	1	3	8	6168
58	1	3	9	6168
59	1	3	10	9141.2
60	1	3	11	9052.6
61	1	3	12	7866.1
62	1	3	13	849
63	1	3	14	5481.5
64	1	3	15	9187.5
65	1	3	16	4820.33333333333
66	1	3	17	855.593734903195
67	1	3	18	866.2
68	1	3	19	1131.53333333333
69	1	3	20	866.2
70	1	3	21	866.2
71	1	3	22	866.2
72	1	3	23	566.2
73	1	4	0	566.2
74	1	4	1	566.2
75	1	4	2	566.2
76	1	4	3	566.2
77	1	4	4	566.2
78	1	4	5	566.2
79	1	4	6	1423.13333333333
80	1	4	7	10338.7506531844
81	1	4	8	6168
82	1	4	9	6168
83	1	4	10	8641.2
84	1	4	11	8552.6
85	1	4	12	7866.1
86	1	4	13	849
87	1	4	14	5481.5
88	1	4	15	9187.5
89	1	4	16	4820.33333333333
90	1	4	17	853.269109637566
91	1	4	18	866.2
92	1	4	19	1131.53333333333
93	1	4	20	866.2
94	1	4	21	866.2
95	1	4	22	866.2
96	1	4	23	566.2
97	1	5	0	566.2
98	1	5	1	566.2
99	1	5	2	566.2
100	1	5	3	566.2
101	1	5	4	566.2
102	1	5	5	566.2
103	1	5	6	1423.13333333333
104	1	5	7	10337.0593525824
105	1	5	8	6168
106	1	5	9	6168
107	1	5	10	9141.2
108	1	5	11	9052.6
109	1	5	12	7866.1
110	1	5	13	849
111	1	5	14	5481.5
112	1	5	15	9187.5
113	1	5	16	4820.33333333333
114	1	5	17	850.865039377219
115	1	5	18	866.2
116	1	5	19	1131.53333333333
117	1	5	20	866.2
118	1	5	21	866.2
119	1	5	22	866.2
120	1	5	23	566.2
121	1	6	0	429
122	1	6	1	429
123	1	6	2	429
124	1	6	3	429
125	1	6	4	429
126	1	6	5	429
